Product,Old Price,New Price,Change %
Amazon Basics Pro Series 2.4G + Bluetooth + USB Triple Mode Ergonomic Mouse | 8000 DPI | RGB Backlit | 7 Programmable Keys | 800mAh Battery | Side Scroll Wheel | Type-C Charging | Black,1709.0,1709.0,0.0
"E GATE Atom 3X Projector 4k ultra HD, Full HD 1080p Native, Automatic Home Projector for Room | 300 ISO | Rotatable Design | Android Netflix, Prime | ARC-HDMI, USB, Wifi-6, BT, Screen Mirroring, Egate",7990.0,7990.0,0.0
"HART X2 Smart Ring | Unisex Fitness Tracker for Sleep, Recovery, Stress, Workout, Calories & Live HR | 8+ Days Battery | Buy Sizing Kit First | Titanium (Sterling Gold, 10)",19499.0,19499.0,0.0
"Ceptics Universal Charger Adapter, 3 in 1 Universal Travel Adapter All in One, Universal Travel Accessories 2 USB 2.4A, 100-250 Voltage Travel Charger, International Travel Adapter, White",558.0,558.0,0.0
"Amazon Basics UPS for WiFi Router/Modem/Set top Box Devices. Supports 12Vdc, 2.5A Routers. Backup Upto 4 Hours, Current Surge & Deep Discharge Protection (Black)",989.0,989.0,0.0
"Portronics Tune, 2-in-1 Wireless Car Receiver, Converts Wired Auto Android & CarPlay to Wireless, Bluetooth Connectivity, Only for Cars with OEM Installed Wired Android Auto/CarPlay, 6 Months Warranty",1799.0,1799.0,0.0
"Portronics Tune Lite, Mini 2-in-1 Wireless CarPlay/Android Auto Receiver, Converts Wired to Wireless, Plug & Play, Only for Cars with OEM Installed Wired Android Auto/CarPlay, Android 12+ & iOS 15+",1599.0,1599.0,0.0
"THEMISTO - built with passion 27 in 1 Precision Screwdriver Set Multi Pocket Repair Tool Kit for Mobiles, Laptops, Electronics",249.0,249.0,0.0
Butterfly EduFields 5in1 STEM Robotics kit | Robotics Kits for Kids Ages 8 9 10 11 12 Years Old Boys Girls | Electronics Sensor Toy Modules | No Coding Required | Birthday Gift for Kids Ages 8+,997.0,997.0,0.0
"Electronic Spices Science Experiment Kit – for Kids, STEM Kit, Electric Circuit Kit with Motor Fan Toy, DIY Kit for Students, Science Experiment Kit",157.0,157.0,0.0
Shocknshop Digital Sports Stylish Multifunctional Electronic LED Black Dial Wrist Watch for Men Boys -WCH78,499.0,499.0,0.0
"AirCase Electronics Organizer Bag with Shockproof EVA Hardshell & Soft Lining, 2 Mesh Pockets, 11 Elastic Loops | Gadget Organizer for HDD/SSD, Power Bank, Cables, Adapters, Chargers, Gadgets (Grey)",849.0,849.0,0.0
Electronic spices Heavy Duty 30W Pencil Type soldering Iron Copper Tip With long PVC Wire 230V,203.0,203.0,0.0
